Identificador,Plantel
256436980,827-PONTIFICIA UNIVERSIDAD JAVERIANA - COLOMBIA
250827751,830-REPUBLICA POPULAR DE CHINA - CHINA
260480369,831-UNIVERSIDAD DEL CAUCA - COLOMBIA
260491575,832-UNIVERSIDAD DE SIENA - ITALIA
260656288,833-UNIVERSIDAD ANTONIO NEBRIJA - ESPAÑA
261243684,834-UNIVERSIDAD DE LOS ANDES - CHILE
261243685,835-UNIVERSIDAD SIMÓN BOLIVAR - COLOMBIA
260735465,836-UNIVERSIDAD LAWRENCE TECHNOLOGICAL UNIVERSITY -...
262073124,837-UNIVERSIDAD DE CADIZ - ESPAÑA
262073125,838-UNIVERSIDAD DE SANTANDER - COLOMBIA
262100243,839-UNIVERSIDAD FEDERAL DE CAMPINA GRANDE - BRASIL
262159980,840-UNIVERSIDAD SIMON BOLIVAR - COLOMBIA
261987160,841-UNIVERSIDAD PRIVADA ABIERTA LATINOAMERICANA -  ...
269736550,842-UNIVERSIDAD EMPRESARIAL SIGLO 21 - ARGENTINA
270600632,843-UNIVERSIDAD DE LENGUAS EXTRANJERAS - CHINA
270558754,844-UNIVERSIDAD NACIONAL DE AGRICULTURA - HONDURAS
270410964,845-INSTITUTO PATAGÓNICO DE LAS ARTES - ARGENTINA
270874811,846-UNIVERSIDAD DE AQUILA - ITALIA
272015139,847-UNIVERSIDAD REGIONAL DE BLUMENAU. BRASIL
211347273,1001-ESCUELA DE QUÍMICOS
213632597,600-UNIVERSIDAD AUTONOMA DE AGUASCALIENTES
213632598,601-UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA
213632599,602-UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR
213632600,603-UNIVERSIDAD AUTONOMA DE CAMPECHE
213632601,604-UNIVERSIDAD AUTONOMA DE COAHUILA
213632602,605-UNIVERSIDAD AUTONOMA DE COLIMA
213632603,606-UNIVERSIDAD AUTONOMA DE CHIAPAS
213632605,608-UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO
213632608,611-UNIVERSIDAD AUTONOMA DE GUERRERO
213632609,612-UNIVERSIDAD AUTONOMA DE HIDALGO
213632612,615-UNIVERSIDAD AUTONOMA DE MORELOS
213632613,616-UNIVERSIDAD AUTONOMA DE NAYARIT
213632614,617-UNIVERSIDAD AUTONOMA DE NUEVO LEON
213632616,619-UNIVERSIDAD AUTONOMA DE PUEBLA
213632617,620-UNIVERSIDAD AUTONOMA DE QUERETARO
213632618,621-UNIVERSIDAD AUTONOMA DE QUINTANA ROO
213632619,622-UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI
213632620,623-UNIVERSIDAD AUTONOMA DE SINALOA
213632621,624-UNIVERSIDAD JUÁREZ DEL ESTADO DE DURANGO
213632622,625-UNIVERSIDAD AUTONOMA DE SONORA
213632625,628-UNIVERSIDAD AUTONOMA DE TLAXCALA
